id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
162286,"Super Motherload",2015,974,6.66192,7.32123,4213,0,,,,,,558,,
175117,Celestia,2015,975,6.66147,6.91842,12705,0,,,,292,,,,
2163,"Space Hulk",1989,976,6.66025,7.48922,3937,0,,,,,,,184,117
170416,"Vast: The Crystal Caverns",2016,977,6.65978,7.08747,7322,0,,,,,,638,247,
217780,Gentes,2017,978,6.65948,7.368,3868,0,,,,,,542,,
173442,"Empires: Age of Discovery",2015,979,6.65814,7.81495,2373,0,,,,,,496,,
131287,Panamax,2014,980,6.65805,7.2969,4238,0,,,,,,553,,
447243,"Duel for Cardia",2025,981,6.65755,7.53475,3342,0,,,,219,,571,,
354544,"Unmatched: Houdini vs. The Genie",2022,982,6.65754,8.2081,1961,0,,,,,,534,,
329845,"Stella: Dixit Universe",2021,983,6.65741,7.27919,4639,0,,,,235,43,,,
281549,Beast,2023,984,6.65686,7.44098,4207,0,,,,,,592,217,
131260,Qwixx,2012,985,6.6565,6.87331,15400,0,,,,303,,,,
393429,"Critter Kitchen",2025,986,6.65632,7.81509,2722,0,,,,214,,,,
385331,"Creature Caravan",2024,987,6.65597,7.80034,2428,0,,,,,,524,,
297129,"Jekyll vs. Hyde",2021,988,6.65567,7.17396,5445,0,,,,255,,,,
56692,Parade,2007,989,6.65475,6.99402,8581,0,,,,285,,,,
160499,"King of New York",2014,990,6.65474,6.86067,17279,0,,,,312,,,,
30645,"Tammany Hall",2007,991,6.65466,7.25848,4615,0,,,,,,586,,
270314,Ohanami,2019,992,6.65444,7.26324,4645,0,,,,239,,,,
387378,"MLEM: Space Agency",2024,993,6.65406,7.15922,5865,0,,,,267,,,,
227460,"Hannibal & Hamilcar",2018,994,6.65397,8.25824,1898,0,,,,,,,,20
275467,"Letter Jam",2019,995,6.65385,7.13994,5595,0,,,,258,,,,
267319,Roam,2019,996,6.65253,7.26636,4655,0,,,,249,,,,
192457,"Cry Havoc",2016,997,6.65249,7.08939,7118,0,,,,,,621,,294
377470,Sail,2023,998,6.65216,7.26612,4493,0,,,,245,,596,,
219215,Werewords,2017,999,6.65141,7.10257,6216,0,,,,,49,,,
